Age,Gender,Weight,Height,BMI,Goal,Calories Burned,Workout Time (min),Workout Recommendation
48,Male,68.4,167.4,24.4,Build Muscles,25.19,171,Bench Press
28,Other,52.8,152.3,22.8,Maintain Weight,11.45,96,Light Weight Training
53,Female,61.2,169.6,21.3,Build Muscles,21.04,189,Bench Press
33,Female,61.8,173.1,20.6,Maintain Weight,4.36,22,Walking
54,Other,106.6,155.4,44.1,Lose Weight,18.03,143,Cycling
17,Other,61.8,161.2,23.8,Maintain Weight,8.06,59,Core Workouts
53,Female,117.9,154.0,49.7,Lose Weight,26.93,228,Running
27,Female,70.6,168.5,24.9,Maintain Weight,12.67,102,Yoga
46,Other,67.5,158.2,27.0,Lose Weight,26.16,238,HIIT
53,Other,56.5,150.2,25.0,Lose Weight,14.78,128,Rowing
46,Other,67.1,168.8,23.5,Maintain Weight,10.05,77,Planks
55,Female,58.8,158.3,23.4,Maintain Weight,13.16,111,Low-Impact Aerobics
48,Other,67.2,152.9,28.8,Lose Weight,10.15,78,High-Knees
20,Female,64.7,152.8,27.7,Lose Weight,18.77,165,Speed Skaters
48,Female,70.2,154.9,29.3,Lose Weight,12.46,100,Swimming
37,Male,91.8,183.5,27.3,Lose Weight,32.55,220,Swimming
49,Female,58.8,152.8,25.2,Lose Weight,22.06,200,Jump Rope
35,Male,71.3,169.5,24.8,Build Muscles,30.09,207,Chest Dips
48,Other,88.3,164.3,32.7,Lose Weight,16.79,137,Running
20,Other,97.1,150.6,42.8,Lose Weight,11.5,81,Mountain Climbers
42,Female,67.0,167.3,23.9,Build Muscles,17.74,154,Shoulder Press
45,Female,62.5,152.0,27.1,Lose Weight,4.79,26,High-Knees
49,Female,61.7,155.9,25.4,Lose Weight,12.06,99,Jumping Jacks
53,Female,62.9,157.5,25.4,Lose Weight,6.9,47,High-Knees
53,Female,104.5,169.8,36.2,Lose Weight,24.56,209,Cycling
24,Other,60.2,157.8,24.2,Maintain Weight,10.51,84,Yoga
46,Male,73.0,181.5,22.2,Build Muscles,29.49,202,Barbell Rows
22,Other,73.8,169.1,25.8,Lose Weight,11.88,93,HIIT
16,Female,72.6,157.7,29.2,Lose Weight,16.94,144,Jumping Jacks
29,Other,118.6,162.3,45.0,Lose Weight,15.65,115,Burpees
32,Other,78.9,162.5,29.9,Lose Weight,17.56,148,Burpees
26,Male,56.5,188.9,15.8,Gain Weight,29.04,203,Deadlifts
27,Female,67.8,153.8,28.7,Lose Weight,5.77,34,Sprints
48,Other,119.4,166.9,42.8,Lose Weight,4.48,3,Swimming
15,Male,66.6,158.2,26.6,Lose Weight,26.33,180,Swimming
32,Female,70.2,160.2,27.3,Lose Weight,12.76,103,Stair Climbing
43,Male,65.7,161.5,25.2,Lose Weight,24.43,166,Box Jumps
31,Female,72.2,163.8,26.9,Lose Weight,11.53,90,High-Knees
43,Male,64.0,168.2,22.6,Maintain Weight,12.37,76,Balance Exercises
53,Male,52.7,173.1,17.6,Gain Weight,25.18,175,Overhead Press
19,Female,63.5,158.0,25.4,Lose Weight,23.02,208,Burpees
44,Male,110.5,163.9,41.1,Lose Weight,29.07,189,Skipping
41,Male,83.8,161.4,32.2,Lose Weight,17.07,106,Jumping Jacks
42,Female,111.5,173.3,37.1,Lose Weight,16.3,124,Mountain Climbers
34,Male,72.0,165.3,26.3,Lose Weight,32.25,223,Stair Climbing
57,Other,62.7,170.8,21.5,Maintain Weight,9.8,76,Swimming
58,Female,110.3,158.1,44.1,Lose Weight,17.16,133,Skipping
47,Male,71.7,173.3,23.9,Maintain Weight,6.78,32,Light Weight Training
35,Other,73.9,167.8,26.2,Lose Weight,13.69,111,Cycling
45,Female,71.3,150.0,31.7,Lose Weight,5.4,29,Mountain Climbers
44,Male,65.7,173.9,21.7,Maintain Weight,3.77,11,Bodyweight Exercises
44,Other,63.5,152.0,27.5,Lose Weight,24.62,224,Mountain Climbers
37,Other,91.2,164.5,33.7,Lose Weight,16.99,138,Skipping
34,Male,82.3,174.3,27.1,Lose Weight,23.41,154,Swimming
19,Male,59.1,188.5,16.6,Gain Weight,8.2,46,Squats
44,Male,58.6,171.8,19.8,Build Muscles,20.45,138,Chin-ups
52,Other,56.9,162.9,21.4,Maintain Weight,11.99,100,Light Weight Training
22,Male,50.2,177.2,16.0,Gain Weight,21.22,146,Overhead Press
27,Male,66.7,175.2,21.7,Maintain Weight,14.6,92,Swimming
29,Female,66.0,150.1,29.3,Lose Weight,24.81,225,Cycling
54,Male,54.8,160.9,21.2,Build Muscles,23.39,161,Lunges
50,Male,67.5,161.4,25.9,Lose Weight,15.43,98,Running
31,Male,108.3,184.0,32.0,Lose Weight,4.99,9,High-Knees
49,Other,49.5,156.4,20.2,Build Muscles,22.63,209,Weighted Pull-ups
54,Other,50.6,151.2,22.1,Maintain Weight,2.97,12,Hiking
27,Female,80.3,152.0,34.7,Lose Weight,23.81,210,Running
27,Male,69.5,176.4,22.3,Maintain Weight,13.23,81,Balance Exercises
57,Female,68.5,162.7,25.9,Lose Weight,25.0,226,Jump Rope
56,Female,59.0,173.9,19.5,Maintain Weight,12.27,102,Yoga
41,Other,69.3,164.2,25.7,Lose Weight,14.73,123,Jump Rope
27,Other,70.6,174.5,23.2,Build Muscles,18.77,163,Shoulder Press
21,Female,117.1,164.1,43.5,Lose Weight,8.0,39,Box Jumps
30,Other,81.8,168.5,28.8,Lose Weight,9.76,69,High-Knees
58,Female,58.7,151.7,25.5,Lose Weight,19.36,173,Box Jumps
41,Female,47.9,158.5,19.1,Build Muscles,14.08,124,Chest Dips
39,Other,61.7,162.2,23.4,Build Muscles,22.26,201,Squats
55,Other,98.4,153.1,42.0,Lose Weight,3.75,3,Swimming
45,Other,83.5,168.3,29.5,Lose Weight,15.52,126,High-Knees
45,Male,59.3,189.1,16.6,Gain Weight,22.47,153,Bicep Curls
23,Female,94.6,171.7,32.1,Lose Weight,25.91,226,Sprints
29,Male,68.7,168.7,24.1,Build Muscles,28.41,195,Squats
52,Male,90.8,181.6,27.6,Lose Weight,33.71,229,Rowing
25,Male,64.6,176.1,20.8,Build Muscles,31.6,220,Chin-ups
47,Female,46.5,162.4,17.7,Gain Weight,7.13,55,Shrugs
41,Male,115.2,175.1,37.6,Lose Weight,19.23,114,Skipping
49,Male,73.6,178.8,23.0,Build Muscles,22.04,146,Power Cleans
45,Male,112.1,162.1,42.7,Lose Weight,33.66,223,Burpees
29,Other,57.2,167.8,20.3,Maintain Weight,8.5,65,Stretching
44,Male,59.0,183.2,17.6,Gain Weight,9.66,57,Overhead Press
48,Other,73.2,169.2,25.6,Lose Weight,5.76,32,Skipping
33,Female,115.4,173.0,38.6,Lose Weight,20.14,161,HIIT
27,Female,85.6,174.9,28.0,Lose Weight,14.5,115,Running
38,Other,75.3,155.7,31.1,Lose Weight,5.54,29,Mountain Climbers
56,Male,50.0,186.2,14.4,Gain Weight,2.82,8,Dumbbell Rows
35,Female,66.8,156.6,27.2,Lose Weight,11.84,95,Rowing
56,Male,61.5,179.5,19.1,Maintain Weight,7.08,37,Stretching
56,Female,85.9,165.2,31.5,Lose Weight,12.71,97,Burpees
20,Other,60.3,165.7,22.0,Maintain Weight,7.81,57,Stretching
50,Female,58.3,158.3,23.3,Build Muscles,22.24,202,Squats
48,Male,72.3,176.8,23.1,Maintain Weight,8.66,46,Walking
41,Other,78.4,158.3,31.3,Lose Weight,4.85,21,Jump Rope
42,Male,69.1,179.8,21.4,Maintain Weight,17.35,112,Pilates
45,Male,59.8,162.3,22.7,Maintain Weight,3.56,11,Core Workouts
48,Female,65.3,153.1,27.9,Lose Weight,8.59,63,Jump Rope
23,Other,71.1,158.9,28.2,Lose Weight,17.99,155,Swimming
23,Male,62.9,161.7,24.1,Build Muscles,29.27,203,Squats
52,Other,56.7,155.8,23.3,Maintain Weight,7.28,53,Walking
20,Other,69.1,171.8,23.4,Build Muscles,21.62,192,Leg Press
30,Other,103.7,157.3,41.9,Lose Weight,7.83,42,Running
32,Female,61.1,163.0,23.0,Maintain Weight,5.44,33,Hiking
32,Male,82.4,190.0,22.8,Build Muscles,24.22,160,Push Press
37,Other,86.0,154.7,35.9,Lose Weight,3.11,1,Swimming
59,Other,68.2,169.0,23.9,Maintain Weight,5.69,33,Hiking
48,Female,67.9,168.6,23.9,Build Muscles,22.07,197,Squats
36,Other,60.3,160.5,23.4,Build Muscles,23.21,211,Cable Machine Exercises
26,Other,108.4,166.7,39.0,Lose Weight,16.59,128,Speed Skaters
23,Male,87.1,163.3,32.7,Lose Weight,3.31,2,High-Knees
55,Female,48.3,170.1,16.7,Gain Weight,5.89,42,Lateral Raises
59,Male,66.2,183.2,19.7,Build Muscles,31.92,222,Dumbbell Snatches
20,Male,68.9,160.8,26.7,Lose Weight,21.35,142,HIIT
32,Male,52.8,164.9,19.4,Build Muscles,33.58,238,Weighted Pull-ups
55,Female,70.9,164.3,26.3,Lose Weight,11.28,88,Sprints
47,Other,118.6,154.3,49.8,Lose Weight,22.65,185,Cycling
40,Other,70.7,167.6,25.2,Lose Weight,21.68,192,Skipping
53,Other,58.1,156.5,23.7,Build Muscles,25.13,231,Squats
36,Male,66.2,181.4,20.1,Maintain Weight,5.52,24,Elliptical
58,Female,62.3,150.8,27.4,Lose Weight,8.38,62,Cycling
23,Other,68.8,157.3,27.8,Lose Weight,15.11,127,Skipping
41,Female,67.4,163.4,25.3,Lose Weight,19.76,174,Burpees
44,Male,50.0,162.5,18.9,Build Muscles,32.02,227,Barbell Rows
23,Other,60.6,158.6,24.1,Build Muscles,23.02,209,Chest Dips
52,Male,59.8,178.8,18.7,Build Muscles,26.63,184,Dumbbell Snatches
46,Male,113.0,189.2,31.6,Lose Weight,24.35,153,Sprints
58,Other,69.9,153.9,29.5,Lose Weight,16.25,138,High-Knees
39,Other,54.0,155.1,22.4,Build Muscles,14.59,127,Chest Dips
